index 0, acc 0.87200, num_params 1819690, acc/num_params 4.79203e-07
index 12, acc 0.86900, num_params 1823050, acc/num_params 4.76674e-07
index 36, acc 0.87200, num_params 1829770, acc/num_params 4.76563e-07
index 24, acc 0.86900, num_params 1826410, acc/num_params 4.75797e-07
index 6, acc 0.85900, num_params 2191750, acc/num_params 3.91924e-07
index 9, acc 0.86100, num_params 2229520, acc/num_params 3.86182e-07
index 15, acc 0.87200, num_params 2797010, acc/num_params 3.11761e-07
index 18, acc 0.87100, num_params 2866870, acc/num_params 3.03816e-07
index 21, acc 0.88000, num_params 2976160, acc/num_params 2.95683e-07
index 3, acc 0.63600, num_params 2167570, acc/num_params 2.93416e-07
index 30, acc 0.86700, num_params 3541990, acc/num_params 2.44778e-07
index 33, acc 0.86900, num_params 3722800, acc/num_params 2.33426e-07
index 27, acc 0.50000, num_params 3426450, acc/num_params 1.45924e-07
index 39, acc 0.50000, num_params 4055890, acc/num_params 1.23278e-07
index 42, acc 0.50000, num_params 4217110, acc/num_params 1.18565e-07
index 45, acc 0.50000, num_params 4469440, acc/num_params 1.11871e-07
index 37, acc 0.86800, num_params 10691974, acc/num_params 8.11824e-08
index 1, acc 0.86300, num_params 10681894, acc/num_params 8.07909e-08
index 25, acc 0.86200, num_params 10688614, acc/num_params 8.06466e-08
index 13, acc 0.85300, num_params 10685254, acc/num_params 7.98296e-08
index 10, acc 0.87500, num_params 11269564, acc/num_params 7.76428e-08
index 7, acc 0.86900, num_params 11222434, acc/num_params 7.74342e-08
index 4, acc 0.85800, num_params 11192014, acc/num_params 7.66618e-08
index 16, acc 0.87000, num_params 11821454, acc/num_params 7.3595e-08
index 19, acc 0.86000, num_params 11897554, acc/num_params 7.22838e-08
index 22, acc 0.84900, num_params 12016204, acc/num_params 7.06546e-08
index 28, acc 0.86400, num_params 12450894, acc/num_params 6.93926e-08
index 31, acc 0.87200, num_params 12572674, acc/num_params 6.93568e-08
index 34, acc 0.86900, num_params 12762844, acc/num_params 6.80883e-08
index 40, acc 0.87100, num_params 13080334, acc/num_params 6.65885e-08
index 46, acc 0.86700, num_params 13509484, acc/num_params 6.41771e-08
index 38, acc 0.87000, num_params 14554986, acc/num_params 5.97733e-08
index 14, acc 0.86700, num_params 14548266, acc/num_params 5.95947e-08
index 26, acc 0.86600, num_params 14551626, acc/num_params 5.95122e-08
index 2, acc 0.85800, num_params 14544906, acc/num_params 5.89897e-08
index 8, acc 0.86500, num_params 15158886, acc/num_params 5.70622e-08
index 5, acc 0.86300, num_params 15125746, acc/num_params 5.7055e-08
index 11, acc 0.86100, num_params 15210096, acc/num_params 5.66071e-08
index 17, acc 0.87300, num_params 15755186, acc/num_params 5.54103e-08
index 20, acc 0.87200, num_params 15834006, acc/num_params 5.50713e-08
index 23, acc 0.86500, num_params 15956736, acc/num_params 5.42091e-08
index 29, acc 0.87100, num_params 16384626, acc/num_params 5.31596e-08
index 32, acc 0.86600, num_params 16509126, acc/num_params 5.24558e-08
index 35, acc 0.86500, num_params 16703376, acc/num_params 5.17859e-08
index 43, acc 0.50000, num_params 13247794, acc/num_params 3.77421e-08
index 47, acc 0.54400, num_params 17450016, acc/num_params 3.11748e-08
index 41, acc 0.50000, num_params 17014066, acc/num_params 2.93874e-08
index 44, acc 0.50000, num_params 17184246, acc/num_params 2.90964e-08
